BANK_EN,SAVINGSPLAN_EN,SAVINGSPROGRAMBYAGE_EN,SAVINGSPERIOD,INTERESTSDATE,YEAR,MONTH,YEAR_MONTH,RateType,RateValue,IsNegative,AvgRate_ByGroup,Delta_ByGroup
Discount,Deposit with 5-Year Exit Option,Under 18,15 Y -16 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.6700,0,1.7638,0.7600
International Bank,Deposit with 5-Year Exit Option,Under 18,15 Y -16 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0500,0,0.1131,0.5900
Hapoalim,Deposit with 5-Year Exit Option,Under 18,15 Y -16 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.0300,0,0.9892,0.1600
Yahav,Deposit with 5-Year Exit Option,Under 18,15 Y -16 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.0100,0.0000
Leumi,Deposit with 5-Year Exit Option,Under 18,15 Y -16 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.6000,0,1.5462,0.1500
Mizrahi-Tefahot,Deposit with 5-Year Exit Option,Under 18,15 Y -16 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.2500,0,1.1811,0.5500
Massad,Deposit with 5-Year Exit Option,Under 18,15 Y -16 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0500,0,0.1131,0.5900
Mercantile Discount,Deposit with 5-Year Exit Option,Under 18,15 Y -16 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.0500,0,0.9992,0.5500
Otsar Ha-Hayal,Fixed Deposit (No Early Withdrawal),Under 18,14 Y -15 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.2500,0,0.1344,0.7400
Discount,Fixed Deposit (No Early Withdrawal),Under 18,14 Y -15 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),2.2000,0,2.0728,2.3900
International Bank,Fixed Deposit (No Early Withdrawal),Under 18,14 Y -15 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.2500,0,0.1344,0.7400
Hapoalim,Fixed Deposit (No Early Withdrawal),Under 18,14 Y -15 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.1500,0,1.0878,1.2300
Yahav,Fixed Deposit (No Early Withdrawal),Under 18,14 Y -15 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0200,0,0.0122,0.0500
Leumi,Fixed Deposit (No Early Withdrawal),Under 18,14 Y -15 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),2.0000,0,1.7694,0.9000
Mizrahi-Tefahot,Fixed Deposit (No Early Withdrawal),Under 18,14 Y -15 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.6500,0,1.3278,1.4500
Massad,Fixed Deposit (No Early Withdrawal),Under 18,14 Y -15 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.2500,0,0.1344,0.7400
Mercantile Discount,Fixed Deposit (No Early Withdrawal),Under 18,14 Y -15 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.2200,0,1.0722,0.5000
Otsar Ha-Hayal,Deposit with 5-Year Exit Option,Under 18,14 Y -15 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0500,0,0.1131,0.5900
Discount,Deposit with 5-Year Exit Option,Under 18,14 Y -15 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.6700,0,1.7638,0.7600
International Bank,Deposit with 5-Year Exit Option,Under 18,14 Y -15 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0500,0,0.1131,0.5900
Hapoalim,Deposit with 5-Year Exit Option,Under 18,14 Y -15 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.0200,0,0.9892,0.1600
Yahav,Deposit with 5-Year Exit Option,Under 18,14 Y -15 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.0100,0.0000
Leumi,Deposit with 5-Year Exit Option,Under 18,14 Y -15 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.6000,0,1.5462,0.1500
Mizrahi-Tefahot,Deposit with 5-Year Exit Option,Under 18,14 Y -15 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.2500,0,1.1811,0.5500
Massad,Deposit with 5-Year Exit Option,Under 18,14 Y -15 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0500,0,0.1131,0.5900
Mercantile Discount,Deposit with 5-Year Exit Option,Under 18,14 Y -15 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.0200,0,0.9992,0.5500
Otsar Ha-Hayal,Fixed Deposit (No Early Withdrawal),Under 18,13 Y -14 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.1500,0,0.1344,0.7400
Discount,Fixed Deposit (No Early Withdrawal),Under 18,13 Y -14 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),2.1800,0,2.0728,2.3900
International Bank,Fixed Deposit (No Early Withdrawal),Under 18,13 Y -14 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.1500,0,0.1344,0.7400
Hapoalim,Fixed Deposit (No Early Withdrawal),Under 18,13 Y -14 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.1500,0,1.0878,1.2300
Yahav,Fixed Deposit (No Early Withdrawal),Under 18,13 Y -14 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.0122,0.0500
Leumi,Fixed Deposit (No Early Withdrawal),Under 18,13 Y -14 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),2.0000,0,1.7694,0.9000
Mizrahi-Tefahot,Fixed Deposit (No Early Withdrawal),Under 18,13 Y -14 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.6500,0,1.3278,1.4500
Massad,Fixed Deposit (No Early Withdrawal),Under 18,13 Y -14 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.1500,0,0.1344,0.7400
Mercantile Discount,Fixed Deposit (No Early Withdrawal),Under 18,13 Y -14 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.2200,0,1.0722,0.5000
Otsar Ha-Hayal,Deposit with 5-Year Exit Option,Under 18,13 Y -14 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0500,0,0.1131,0.5900
Discount,Deposit with 5-Year Exit Option,Under 18,13 Y -14 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.6700,0,1.7638,0.7600
International Bank,Deposit with 5-Year Exit Option,Under 18,13 Y -14 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0500,0,0.1131,0.5900
Hapoalim,Deposit with 5-Year Exit Option,Under 18,13 Y -14 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.0200,0,0.9892,0.1600
Yahav,Deposit with 5-Year Exit Option,Under 18,13 Y -14 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.0100,0.0000
Leumi,Deposit with 5-Year Exit Option,Under 18,13 Y -14 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.6000,0,1.5462,0.1500
Mizrahi-Tefahot,Deposit with 5-Year Exit Option,Under 18,13 Y -14 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.2500,0,1.1811,0.5500
Massad,Deposit with 5-Year Exit Option,Under 18,13 Y -14 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0500,0,0.1131,0.5900
Mercantile Discount,Deposit with 5-Year Exit Option,Under 18,13 Y -14 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.0000,0,0.9992,0.5500
Otsar Ha-Hayal,Fixed Deposit (No Early Withdrawal),Under 18,12 Y -13 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.1500,0,0.1344,0.7400
Discount,Fixed Deposit (No Early Withdrawal),Under 18,12 Y -13 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),2.1700,0,2.0728,2.3900
International Bank,Fixed Deposit (No Early Withdrawal),Under 18,12 Y -13 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.1500,0,0.1344,0.7400
Hapoalim,Fixed Deposit (No Early Withdrawal),Under 18,12 Y -13 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.1500,0,1.0878,1.2300
Yahav,Fixed Deposit (No Early Withdrawal),Under 18,12 Y -13 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.0122,0.0500
Leumi,Fixed Deposit (No Early Withdrawal),Under 18,12 Y -13 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.9500,0,1.7694,0.9000
Mizrahi-Tefahot,Fixed Deposit (No Early Withdrawal),Under 18,12 Y -13 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.5500,0,1.3278,1.4500
Massad,Fixed Deposit (No Early Withdrawal),Under 18,12 Y -13 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.1500,0,0.1344,0.7400
Mercantile Discount,Fixed Deposit (No Early Withdrawal),Under 18,12 Y -13 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.1500,0,1.0722,0.5000
Otsar Ha-Hayal,Deposit with 5-Year Exit Option,Under 18,12 Y -13 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0500,0,0.1131,0.5900
Discount,Deposit with 5-Year Exit Option,Under 18,12 Y -13 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.6700,0,1.7638,0.7600
International Bank,Deposit with 5-Year Exit Option,Under 18,12 Y -13 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0500,0,0.1131,0.5900
Hapoalim,Deposit with 5-Year Exit Option,Under 18,12 Y -13 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.0100,0,0.9892,0.1600
Yahav,Deposit with 5-Year Exit Option,Under 18,12 Y -13 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.0100,0.0000
Leumi,Deposit with 5-Year Exit Option,Under 18,12 Y -13 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.5500,0,1.5462,0.1500
Mizrahi-Tefahot,Deposit with 5-Year Exit Option,Under 18,12 Y -13 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.2500,0,1.1811,0.5500
Massad,Deposit with 5-Year Exit Option,Under 18,12 Y -13 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0500,0,0.1131,0.5900
Mercantile Discount,Deposit with 5-Year Exit Option,Under 18,12 Y -13 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.9700,0,0.9992,0.5500
Otsar Ha-Hayal,Fixed Deposit (No Early Withdrawal),Under 18,11 Y -12 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.1344,0.7400
Discount,Fixed Deposit (No Early Withdrawal),Under 18,11 Y -12 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),2.1700,0,2.0728,2.3900
International Bank,Fixed Deposit (No Early Withdrawal),Under 18,11 Y -12 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.1344,0.7400
Hapoalim,Fixed Deposit (No Early Withdrawal),Under 18,11 Y -12 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.1200,0,1.0878,1.2300
Yahav,Fixed Deposit (No Early Withdrawal),Under 18,11 Y -12 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.0122,0.0500
Leumi,Fixed Deposit (No Early Withdrawal),Under 18,11 Y -12 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.9500,0,1.7694,0.9000
Mizrahi-Tefahot,Fixed Deposit (No Early Withdrawal),Under 18,11 Y -12 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.5500,0,1.3278,1.4500
Massad,Fixed Deposit (No Early Withdrawal),Under 18,11 Y -12 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.1344,0.7400
Mercantile Discount,Fixed Deposit (No Early Withdrawal),Under 18,11 Y -12 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.1500,0,1.0722,0.5000
Otsar Ha-Hayal,Deposit with 5-Year Exit Option,Under 18,11 Y -12 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.1131,0.5900
Discount,Deposit with 5-Year Exit Option,Under 18,11 Y -12 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.6700,0,1.7638,0.7600
International Bank,Deposit with 5-Year Exit Option,Under 18,11 Y -12 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.1131,0.5900
Hapoalim,Deposit with 5-Year Exit Option,Under 18,11 Y -12 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.0000,0,0.9892,0.1600
Yahav,Deposit with 5-Year Exit Option,Under 18,11 Y -12 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.0100,0.0000
Leumi,Deposit with 5-Year Exit Option,Under 18,11 Y -12 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.5500,0,1.5462,0.1500
Mizrahi-Tefahot,Deposit with 5-Year Exit Option,Under 18,11 Y -12 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.2500,0,1.1811,0.5500
Massad,Deposit with 5-Year Exit Option,Under 18,11 Y -12 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.1131,0.5900
Mercantile Discount,Deposit with 5-Year Exit Option,Under 18,11 Y -12 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.9500,0,0.9992,0.5500
Otsar Ha-Hayal,Fixed Deposit (No Early Withdrawal),Under 18,10 Y -11 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.1344,0.7400
Discount,Fixed Deposit (No Early Withdrawal),Under 18,10 Y -11 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),2.1200,0,2.0728,2.3900
International Bank,Fixed Deposit (No Early Withdrawal),Under 18,10 Y -11 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.1344,0.7400
Hapoalim,Fixed Deposit (No Early Withdrawal),Under 18,10 Y -11 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.1100,0,1.0878,1.2300
Yahav,Fixed Deposit (No Early Withdrawal),Under 18,10 Y -11 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.0122,0.0500
Leumi,Fixed Deposit (No Early Withdrawal),Under 18,10 Y -11 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.9500,0,1.7694,0.9000
Mizrahi-Tefahot,Fixed Deposit (No Early Withdrawal),Under 18,10 Y -11 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.4500,0,1.3278,1.4500
Massad,Fixed Deposit (No Early Withdrawal),Under 18,10 Y -11 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.1344,0.7400
Mercantile Discount,Fixed Deposit (No Early Withdrawal),Under 18,10 Y -11 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.1200,0,1.0722,0.5000
Otsar Ha-Hayal,Deposit with 5-Year Exit Option,Under 18,10 Y -11 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.1131,0.5900
Discount,Deposit with 5-Year Exit Option,Under 18,10 Y -11 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.6700,0,1.7638,0.7600
International Bank,Deposit with 5-Year Exit Option,Under 18,10 Y -11 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.1131,0.5900
Hapoalim,Deposit with 5-Year Exit Option,Under 18,10 Y -11 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.0000,0,0.9892,0.1600
Yahav,Deposit with 5-Year Exit Option,Under 18,10 Y -11 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.0100,0.0000
Leumi,Deposit with 5-Year Exit Option,Under 18,10 Y -11 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.5500,0,1.5462,0.1500
Mizrahi-Tefahot,Deposit with 5-Year Exit Option,Under 18,10 Y -11 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.2500,0,1.1811,0.5500
Massad,Deposit with 5-Year Exit Option,Under 18,10 Y -11 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.1131,0.5900
Mercantile Discount,Deposit with 5-Year Exit Option,Under 18,10 Y -11 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.9500,0,0.9992,0.5500
Otsar Ha-Hayal,Fixed Deposit (No Early Withdrawal),Under 18,9 Y -10 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.1344,0.7400
Discount,Fixed Deposit (No Early Withdrawal),Under 18,9 Y -10 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),2.0700,0,2.0728,2.3900
International Bank,Fixed Deposit (No Early Withdrawal),Under 18,9 Y -10 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.1344,0.7400
Hapoalim,Fixed Deposit (No Early Withdrawal),Under 18,9 Y -10 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.0600,0,1.0878,1.2300
Yahav,Fixed Deposit (No Early Withdrawal),Under 18,9 Y -10 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.0122,0.0500
Leumi,Fixed Deposit (No Early Withdrawal),Under 18,9 Y -10 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.9500,0,1.7694,0.9000
Mizrahi-Tefahot,Fixed Deposit (No Early Withdrawal),Under 18,9 Y -10 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.4000,0,1.3278,1.4500
Massad,Fixed Deposit (No Early Withdrawal),Under 18,9 Y -10 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.1344,0.7400
Mercantile Discount,Fixed Deposit (No Early Withdrawal),Under 18,9 Y -10 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.1000,0,1.0722,0.5000
Otsar Ha-Hayal,Deposit with 5-Year Exit Option,Under 18,9 Y -10 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.1131,0.5900
Discount,Deposit with 5-Year Exit Option,Under 18,9 Y -10 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.6700,0,1.7638,0.7600
International Bank,Deposit with 5-Year Exit Option,Under 18,9 Y -10 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.1131,0.5900
Hapoalim,Deposit with 5-Year Exit Option,Under 18,9 Y -10 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.9900,0,0.9892,0.1600
Yahav,Deposit with 5-Year Exit Option,Under 18,9 Y -10 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.0100,0.0000
Leumi,Deposit with 5-Year Exit Option,Under 18,9 Y -10 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.5500,0,1.5462,0.1500
Mizrahi-Tefahot,Deposit with 5-Year Exit Option,Under 18,9 Y -10 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.2500,0,1.1811,0.5500
Massad,Deposit with 5-Year Exit Option,Under 18,9 Y -10 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.1131,0.5900
Mercantile Discount,Deposit with 5-Year Exit Option,Under 18,9 Y -10 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.9500,0,0.9992,0.5500
Otsar Ha-Hayal,Fixed Deposit (No Early Withdrawal),Under 18,8 Y - 9 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.1344,0.7400
Discount,Fixed Deposit (No Early Withdrawal),Under 18,8 Y - 9 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),2.0100,0,2.0728,2.3900
International Bank,Fixed Deposit (No Early Withdrawal),Under 18,8 Y - 9 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.1344,0.7400
Hapoalim,Fixed Deposit (No Early Withdrawal),Under 18,8 Y - 9 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.0200,0,1.0878,1.2300
Yahav,Fixed Deposit (No Early Withdrawal),Under 18,8 Y - 9 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.0122,0.0500
Leumi,Fixed Deposit (No Early Withdrawal),Under 18,8 Y - 9 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.9500,0,1.7694,0.9000
Mizrahi-Tefahot,Fixed Deposit (No Early Withdrawal),Under 18,8 Y - 9 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.4000,0,1.3278,1.4500
Massad,Fixed Deposit (No Early Withdrawal),Under 18,8 Y - 9 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.1344,0.7400
Mercantile Discount,Fixed Deposit (No Early Withdrawal),Under 18,8 Y - 9 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.0500,0,1.0722,0.5000
Otsar Ha-Hayal,Deposit with 5-Year Exit Option,Under 18,8 Y - 9 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.1131,0.5900
Discount,Deposit with 5-Year Exit Option,Under 18,8 Y - 9 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.7000,0,1.7638,0.7600
International Bank,Deposit with 5-Year Exit Option,Under 18,8 Y - 9 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.1131,0.5900
Hapoalim,Deposit with 5-Year Exit Option,Under 18,8 Y - 9 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.9600,0,0.9892,0.1600
Yahav,Deposit with 5-Year Exit Option,Under 18,8 Y - 9 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.0100,0.0000
Leumi,Deposit with 5-Year Exit Option,Under 18,8 Y - 9 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.5500,0,1.5462,0.1500
Mizrahi-Tefahot,Deposit with 5-Year Exit Option,Under 18,8 Y - 9 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.2500,0,1.1811,0.5500
Massad,Deposit with 5-Year Exit Option,Under 18,8 Y - 9 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.1131,0.5900
Mercantile Discount,Deposit with 5-Year Exit Option,Under 18,8 Y - 9 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.9500,0,0.9992,0.5500
Otsar Ha-Hayal,Fixed Deposit (No Early Withdrawal),Under 18,7 Y - 8 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.1344,0.7400
Discount,Fixed Deposit (No Early Withdrawal),Under 18,7 Y - 8 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.9400,0,2.0728,2.3900
International Bank,Fixed Deposit (No Early Withdrawal),Under 18,7 Y - 8 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.1344,0.7400
Hapoalim,Fixed Deposit (No Early Withdrawal),Under 18,7 Y - 8 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.0200,0,1.0878,1.2300
Yahav,Fixed Deposit (No Early Withdrawal),Under 18,7 Y - 8 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.0122,0.0500
Leumi,Fixed Deposit (No Early Withdrawal),Under 18,7 Y - 8 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.7000,0,1.7694,0.9000
Mizrahi-Tefahot,Fixed Deposit (No Early Withdrawal),Under 18,7 Y - 8 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.3500,0,1.3278,1.4500
Massad,Fixed Deposit (No Early Withdrawal),Under 18,7 Y - 8 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.1344,0.7400
Mercantile Discount,Fixed Deposit (No Early Withdrawal),Under 18,7 Y - 8 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.0300,0,1.0722,0.5000
Otsar Ha-Hayal,Deposit with 5-Year Exit Option,Under 18,7 Y - 8 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.1131,0.5900
Discount,Deposit with 5-Year Exit Option,Under 18,7 Y - 8 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.7000,0,1.7638,0.7600
International Bank,Deposit with 5-Year Exit Option,Under 18,7 Y - 8 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.1131,0.5900
Hapoalim,Deposit with 5-Year Exit Option,Under 18,7 Y - 8 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.9400,0,0.9892,0.1600
Yahav,Deposit with 5-Year Exit Option,Under 18,7 Y - 8 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.0100,0.0000
Leumi,Deposit with 5-Year Exit Option,Under 18,7 Y - 8 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.4500,0,1.5462,0.1500
Mizrahi-Tefahot,Deposit with 5-Year Exit Option,Under 18,7 Y - 8 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.1500,0,1.1811,0.5500
Massad,Deposit with 5-Year Exit Option,Under 18,7 Y - 8 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.1131,0.5900
Mercantile Discount,Deposit with 5-Year Exit Option,Under 18,7 Y - 8 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.9000,0,0.9992,0.5500
Otsar Ha-Hayal,Fixed Deposit (No Early Withdrawal),Under 18,6 Y - 7 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.1344,0.7400
Discount,Fixed Deposit (No Early Withdrawal),Under 18,6 Y - 7 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.8800,0,2.0728,2.3900
International Bank,Fixed Deposit (No Early Withdrawal),Under 18,6 Y - 7 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.1344,0.7400
Hapoalim,Fixed Deposit (No Early Withdrawal),Under 18,6 Y - 7 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.9800,0,1.0878,1.2300
Yahav,Fixed Deposit (No Early Withdrawal),Under 18,6 Y - 7 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),0.0100,0,0.0122,0.0500
Leumi,Fixed Deposit (No Early Withdrawal),Under 18,6 Y - 7 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.7000,0,1.7694,0.9000
Mizrahi-Tefahot,Fixed Deposit (No Early Withdrawal),Under 18,6 Y - 7 Y,2026-02-24,2026,2,2026-02,Fixed (CPI-Linked),1.3000,0,1.3278,1.4500
